longlat,lat,neighbourhoodgroup,neighbourhood,roomtype,price,minimumnights,numberofreviews,lastreview,reviewspermonth,calculatedhostlistingscount,availability365,numcalls,zip,ASSAULT3&RELATEDOFFENSES,BURGLARY,CRIMINALMISCHIEF&RELATEDOF,CRIMINALTRESPASS,DANGEROUSDRUGS,DANGEROUSWEAPONS,FELONYASSAULT,FORGERY,FRAUDS,GRANDLARCENY,GRANDLARCENYOFMOTORVEHICLE,HARRASSMENT2,INTOXICATED&IMPAIREDDRIVING,MISCELLANEOUSPENALLAW,OFFAGNSTPUBORDSENSBLTY,OFFENSESAGAINSTPUBLICADMINI,OFFENSESAGAINSTTHEPERSON,OFFENSESINVOLVINGFRAUD,OTHEROFFENSESRELATEDTOTHEF,PETITLARCENY,POSSESSIONOFSTOLENPROPERTY,ROBBERY,THEFTFRAUD,UNAUTHORIZEDUSEOFAVEHICLE,VEHICLEANDTRAFFICLAWS,0,0,0,0,0,0,0
40.647-74.008,40.647,Brooklyn,Sunset Park,Entire home/apt,119,4,23,2019,2.61,1,31,6,11234,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40.648-73.998,40.648,Brooklyn,Sunset Park,Private room,38,2,1,2016,0.03,1,0,54,11234,5,1,6,0,0,0,4,0,0,2,0,0,3,1,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
40.655-73.916,40.655,Brooklyn,East Flatbush,Entire home/apt,120,1,187,2019,8.75,1,318,23,11234,7,0,1,1,0,2,0,0,0,1,1,7,2,1,1,0,0,0,0,3,1,1,1,0,0,0,0,0,0,0,0,0
40.657-73.96,40.657,Brooklyn,Prospect-Lefferts Gardens,Private room,85,2,67,2019,1.56,3,264,6,11234,1,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.657-73.96,40.657,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,100,5,0,2019,0,1,0,5,11234,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.657-73.96,40.657,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,110,1,2,2015,0.04,1,0,6,11234,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
40.657-73.96,40.657,Brooklyn,Prospect-Lefferts Gardens,Private room,42,1,8,2017,0.22,2,0,5,11234,0,0,1,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.657-73.96,40.657,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,115,1,227,2019,6.23,1,294,6,11234,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.657-73.96,40.657,Brooklyn,Prospect-Lefferts Gardens,Private room,43,1,6,2017,0.19,1,0,5,11234,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.657-73.96,40.657,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,80,4,2,2019,0.08,1,0,6,11234,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.657-73.96,40.657,Brooklyn,Prospect-Lefferts Gardens,Private room,95,1,48,2019,2.63,2,77,5,11234,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40.658-73.953,40.658,Brooklyn,Prospect-Lefferts Gardens,Private room,70,5,18,2019,0.22,3,365,65,11234,0,0,0,0,1,0,0,3,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.659-73.961,40.659,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,100,5,117,2019,1.61,2,73,1,11234,1,0,2,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40.659-73.961,40.659,Brooklyn,Prospect-Lefferts Gardens,Private room,100,2,13,2019,0.36,1,365,2,11234,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.659-73.961,40.659,Brooklyn,Prospect-Lefferts Gardens,Private room,80,3,4,2019,0.22,1,331,1,11234,1,1,2,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.659-73.961,40.659,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,70,1,0,2019,0,1,0,2,11234,1,1,2,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.659-73.961,40.659,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,125,20,0,2019,0,1,0,1,11234,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
40.659-73.961,40.659,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,80,1,1,2016,0.02,1,0,1,11234,1,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
40.659-73.961,40.659,Brooklyn,Prospect-Lefferts Gardens,Entire home/apt,69,2,37,2019,2,1,3,1,11234,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
